Location1,Location2,Driving,Walking
C62220,SMAT3,X,9
C62220,SM1440,X,9
C62220,SMAT4,X,9
AE2388,EX2736,2,12
AC1332,RZ1532,3,16
AC1332,RCH2,4,20
SOCR,CV2407,4,21
BR2729,FT2968,4,21
BR2729,LD2795,3,15
TARG2,PN2287,3,14
LB5790,ACDR2,2,10
LB5790,SO3173,6,36
HI1156,PA1901,3,18
EL1125,PL1442,2,11
EL1125,GN2503,X,8
EL1125,JM1319,X,8
EL1125,QS1717,X,9
CR1595,PF4735,4,19
CR1595,PT1759,98,588
CR1595,ERM4,101,604
CR1595,JD2306,100,595
SC1522,BG2959,2,12
MAIA,VI3275,1,5
MAIA,VB2322,3,15
TVAS1,LV2483,2,9
AC2905,CR2489,50,296
ETRP2,CQ2354,3,19
IR2166,SJ2912,2,8
IR2166,BR1267,2,9
NT1289,PM1446,2,11
RG8030,RB6728,1,6
PRNT,PM1344,1,6
FT3333,PI2231,2,9
SP4,MA4323,3,17
IGRT1,LO2889,2,9
JM1319,GE2978,2,9
AR1472,JA6625,3,16
UV1403,VDE1,2,9
TR9980,DI2395,3,15
TR9980,HG2228,1,5
TR9980,LG5831,2,12
ST1194,MG8290,3,16
CO3177,FN4713,1,6
DT2,PR2162,1,6
PM2786,AV6817,4,23
ALPR1,VDV2,2,10
PS2465,GU2226,2,13
PH1918,SA1813,2,12
RI4113,ER7208,4,21
AB3283,LM3272,2,11
AL2408,BT1769,20,119
AL2408,281460,1,5
AL2408,AL2335,100,597
MTE,TLR,3,17
LM2164,RF3641,2,10
GC2640,PR1973,3,14
GC2640,BR2522,4,22
FC2707,HM3277,2,10
LM3272,PC1462,1,6
INFH1,SR1833,4,21
PR2125,AH1768,3,16
PR2125,NE8738,7,42
GU2226,MN3358,2,10
GU2226,CRUG1,3,15
MA4323,PD2401,3,13
MA4323,SMAT4,4,24
MA4323,SM1440,5,28
FS1335,AP2370,3,16
FS1335,LO1726,X,10
FS1335,MA4323,X,10
FS1335,SP1779,X,6
FS1335,MATM2,X,9
FS1335,SP4,X,5
QS2101,PM3375,3,15
QS2101,SMAT3,X,11
QS2101,SM1440,X,11
QS2101,MA4323,X,6
QS2101,SP1779,X,10
QS2101,MATM2,X,6
QS2101,SP4,X,9
QS2101,SMAT4,X,10
PM3375,FT3163,2,10
PM3375,MA4323,X,6
PM3375,SP1779,X,6
PM3375,MATM2,X,5
PM3375,SP4,X,5
CB1286,SP2293,2,11
HS9437,RCA,4,23
HS9437,AS1358,2,11
EM2080,HS1569,3,16
HIPD,QT3055,3,16
HIPD,PTLS3,X,8
4C2453,TA2652,4,20
SA5768,TOR4,2,13
AC2970,AV3110,58,344
AC2970,BR2924,2,11
SR7407,PJ1865,4,21
MATM2,SP1779,3,14
FM4659,CH5410,3,17
CR1955,RG6870,2,11
BR2518,CF1065,56,333
TV1557,PR2125,3,18
TV1557,VL8486,2,8
TMPR1,LG2865,1,5
MT1388,AL1500,3,16
FA2740,VF3138,2,12
JRC1,PF3284,3,14
ES8542,RT2224,2,7
RF3641,RB8115,2,12
SMAT4,MA5944,2,7
CU2745,DBT2,4,20
CU2745,TF3064,2,12
PC1462,LM2164,2,7
TR1550,PA1372,3,13
DD2008,5O1371,2,8
DD2008,SGMC2,2,12
AR8113,VR1999,4,23
AR8113,RG1580,3,13
AR8113,AA1662,2,9
UC4142,PC9232,3,15
BR2565,RC1616,2,9
RM2464,PM1309,3,16
IG1492,EQ7222,2,7
IG1492,MC8430,2,9
DJ2951,BP2812,3,14
DJ2951,SR2748,2,8
PA1372,PG3116,2,11
PA1372,PJ6116,2,11
PA1372,FL3318,5,25
BR1267,CR3043,4,21
BR1267,BR2270,2,12
PL3065,CO2295,3,17
SC1303,AL1497,2,9
SC1303,PD1658,33,194
PUNV,FE1619,3,14
MS7550,BV2048,2,13
MS7550,1R9A1,2,10
PL1632,LR3170,4,19
PL1632,AL1497,2,12
CR2384,CHOL2,2,11
CR2384,PR1831,4,24
CR2384,BMAF1,3,13
CR2384,ES2500,4,21
JB2522,SR2748,3,18
JB2522,AALB,2,8
EM1589,PR5671,3,16
IGAL2,PFMA1,1,6
IGAL2,BA9686,3,17
PG3116,FL3318,3,15
PG3116,FL1848,4,22
AN8378,MA4105,2,9
AN8378,RC1616,4,22
AN8378,FMAG,4,19
FO4447,FC3658,3,16
FO4447,MAIA,1,5
BL2517,MC8901,2,10
BL2517,BLFZ1,1,4
BL2517,GC2190,3,16
HE2601,CSS2,2,12
FMPT,GA1081,1,5
PC9232,TR1550,3,15
CDPD,SO3173,2,8
QC1794,FM4659,2,7
PD2121,C21640,3,14
PD2121,VA1377,75,451
PD2121,C24A4,3,16
FT3163,FS1335,2,9
FT3163,LO1726,X,9
FT3163,MA4323,X,8
FT3163,SP1779,X,5
FT3163,MATM2,X,7
FT3163,SP4,X,4
FT3163,PD2401,X,12
JB9828,FC8390,2,12
GC3111,PI3389,3,17
C24A4,DJOA4,3,13
CR1603,OU3860,2,12
AL1497,LR3170,2,12
AL1497,MARB,2,13
BF2552,CHOL2,3,13
AD4498,CI2941,8,48
AD4498,RPM2,2,10
QR1888,AR2517,3,16
BV2048,NA1548,3,13
MO2214,PD2792,33,194
LA7245,HS4476,3,15
VTO4,CO1691,3,14
AR2517,MA1883,2,13
AR2517,FE2668,19,113
AR2517,RCNH1,26,153
MR1870,RB2963,2,7
MR1870,LGAJ3,X,7
MR1870,VTC2,X,8
MR1870,CAVE4,X,6
MR1870,FTN2,X,7
CTP,AQ2147,3,17
TSL1,TV2543,2,11
AL2266,MR1870,3,17
AL2266,INF1,5,26
AL2266,VTC2,X,8
AL2266,FTN2,X,8
TSL2,SA1813,3,18
AG3063,PM6154,2,10
AG3063,VE1096,3,14
HS3451,CO1691,2,12
MA1883,MO2214,3,15
PA3175,HSA,4,21
PA3175,HS3451,4,21
PA3175,VTO4,4,20
RPR,MV6848,1,4
RC2852,BE3223,112,669
NATV,JF2460,2,11
PDB1,PD1528,3,13
SO2420,PI2886,2,12
LG4030,CS1853,2,11
LG4030,SO1,2,12
CM2834,CZ3100,3,14
CM2834,ICDF1,2,10
MP2274,MP2156,2,8
MTCV,CTP,2,8
MP2156,EF3008,3,15
MN9231,PC9404,3,14
MN9231,MDCS1,2,9
AA1669,VN5229,2,11
AA1669,SC8866,2,12
PC2357,FC2707,2,10
PC2357,SO4917,26,153
VP1490,PC9404,6,33
FIG,CV9711,3,16
PO1707,PA5518,2,8
FSTO1,BF2552,2,10
FSTO1,FALC,2,10
MA1592,TR3063,2,12
MT3103,AG1272,2,11
NA1548,CV2407,1,4
CP1310,ABX2,2,11
1R3286,PS1684,4,20
1R3286,AH1768,106,635
AQ2147,FG2887,3,15
AQ2147,PISC,2,12
BR2270,CR3043,3,13
RFND2,PS1684,4,22
VI3275,VI1044,38,227
VI3275,PSP1,3,13
CV2407,CS2633,5,30
CV2407,CT1621,4,23
CV2407,HP2434,2,12
CV2407,BRCV,3,13
LARZ,ST2136,1,7
RB1068,FT2949,2,9
VE3773,CART,2,8
HS4476,PR1759,3,13
ERM4,BV2655,2,10
ERM4,VA9994,2,7
ERM4,ER7208,2,12
FT1456,BFB,2,8
FT1456,BCNT,3,13
QT1838,AV2513,3,15
R7N1,R15,2,12
1PEI1,1P1556,4,22
HS2829,ES1431,3,15
HS2829,RCA,3,17
R7P1,CDR1,2,12
BA1571,JF3158,3,16
ICAM1,QBNJ2,3,14
MM2205,MMAI5,3,16
MM2205,PDM4,4,20
QT5084,CV2407,3,17
R55640,R7N1,3,14
FTN2,CAVE4,2,9
PM5953,PD2580,2,12
PM5953,CHC1,3,16
PM5953,PN2287,50,301
ID3171,GT2721,3,15
HG2228,CM3198,2,13
HG2228,GE2978,4,20
JF3158,GEST,2,7
BR4175,PN8585,4,23
BR4175,BR2480,46,273
FT2949,EM1589,2,13
PDM4,RA1873,49,293
SRGB3,ES2500,2,8
SRGB3,ILH2,3,14
CZ1297,R55640,2,10
FR1174,PT9586,4,20
SR2748,SR2078,1,6
AZ1920,LG8407,2,9
AZ1920,BLGT1,2,8
CHC2,PM5953,3,13
FMAG,FT1456,3,15
RCNH2,AR2517,26,152
MF1014,VL2574,3,14
FT2968,PN1338,3,16
FT2968,AB1033,1,4
FT2968,LG2592,3,18
ER7208,ER4309,2,9
PM6154,RGLO2,3,18
MR7780,MTCV,3,15
MA1037,SC1628,3,15
PT9586,AL1295,2,11
PT9586,ESPL2,X,8
PT9586,ESPL1,X,8
PI1062,AR3154,2,13
MS2,RB1280,2,10
MS2,RB2963,3,18
MS2,PL1442,X,9
OU3334,SA2701,45,271
OU3334,SO2638,1,4
RC2358,AS2101,22,127
MG8290,MN2732,2,12
BRNS,TV1557,3,13
LV2483,CB1142,2,8
LV2483,5O1371,27,160
ACAR,GC2640,2,10
QT3155,CC4733,2,9
QT3155,PIN1,2,7
CB1142,CT8136,2,13
CM2246,ND2509,3,16
CM2246,PB3401,2,11
CSRT3,DC2628,2,10
CSRT4,IG2530,3,14
MT9888,MA2113,2,8
SR1357,ST1459,3,14
DC2628,SC9454,2,8
DC2628,CSRT4,2,8
MA2113,AZ2586,3,14
GODC1,BV2547,3,15
PR1151,LG2592,3,13
AS1756,RM2282,3,14
HM3201,CH1986,3,13
IG2179,TE1377,2,10
TT7339,FR1954,2,11
LA2622,VG4578,2,8
LN5591,CSSH1,4,21
BR1165,MSB2,4,23
BR1165,ABX1,2,12
EN1565,PN1817,4,24
SCAL2,SC8866,2,11
GU2273,FL1588,21,124
PC5908,CV3149,2,10
CH1464,AF3339,4,24
DM6400,QN2944,2,8
HB7334,SM1796,18,108
AHRQ2,RFND2,2,12
CRRP2,BR2729,2,9
AN3138,VR5548,3,18
DBT1,CU2745,4,19
VLN1,ALCF1,2,12
VB2322,MAIA4,4,21
CMV,VA1377,1,6
VG4578,TVAS1,2,11
VG4578,IS2125,61,367
NZ5678,RM2464,3,13
DP2211,ME1525,2,10
SC2047,AR2517,22,128
AR2471,MT9888,3,15
1MST1,MJ1738,1,4
1MST1,1T2785,3,13
BS6325,GO2195,3,15
TEC,FCA,4,23
TEC,CH2788,X,7
TEC,NOC,X,7
PR1149,AEPT1,3,16
PIN1,MAII1,2,10
FC1097,QT1373,3,14
FC1097,ACDR1,2,10
CH1986,SCAL2,2,9
CH1986,IG2530,4,23
RE3044,GN4164,2,13
SL9302,LV2483,3,17
AN1376,GU2451,3,16
AN1376,ZO1512,31,186
AN1376,NZ5678,91,545
DN4347,GC2640,2,12
DN4347,FNTL1,2,11
MDLI2,SA6549,2,10
GC1513,FT3014,3,15
CA2227,SRHE3,3,16
OL7169,AS3353,3,14
OL7169,TC1359,3,14
RCNH1,CS2273,3,13
AF3339,AGN,2,12
BA2390,JQ1640,2,12
ASP2,ST2136,3,17
PJ1865,CA2227,3,14
FR1954,RO1677,2,10
TC1958,IG3316,2,9
FA6346,ST5756,2,11
BP2812,IN3005,2,9
BP2812,JRC1,2,8
JQ1640,312129,3,13
TL2580,ES2643,2,12
GU2451,CR1595,3,15
GU2451,CHC2,46,273
RG1267,MS6903,2,12
RG1267,RI4113,2,8
HM3277,ML3207,3,13
AL1500,BA3347,2,10
PDLF2,FE3285,3,18
INF1,LGAJ3,X,6
INF1,VTC2,X,10
INF1,GN2503,X,10
INF1,PL1442,X,10
INF1,CAVE4,X,7
INF1,FTN2,X,8
AB1494,MT1388,2,11
BV2655,ER7208,2,10
SA1813,TSL1,3,18
QT3055,C62220,2,12
QT3055,PTLS3,5,26
QT3055,AE2388,3,15
QT3055,CO1721,17,101
QT3055,RG1616,X,10
BB9257,VE3773,2,11
PT1759,SB2955,3,16
PF4735,AL1981,3,15
PF4735,MTD,5,26
251307,OL8727,4,20
251307,PA1227,3,15
251307,CMV,4,19
251307,CGG,39,229
TI1747,NOB1,2,13
TI1747,CM2246,5,28
ABX1,CP1310,2,12
PR2162,HE2601,4,22
PR2162,SL1176,3,14
GN3309,TP8140,2,9
RG6870,CU1212,3,14
ER4309,CR1595,100,600
ER4309,ERM4,1,5
ESPL2,DQL1,6,33
ASZE1,PA1372,8,43
GS2634,RN5978,2,13
GS2634,EZ2480,26,157
GS2634,EPC1,3,15
NSHP,RA2810,3,18
EX2736,RE3052,2,13
MC8430,MO3337,4,23
MC8430,NOC,X,11
MC8430,AR1472,X,11
CA1424,CU2745,2,13
ME1525,CN2443,3,16
CM2791,BO1594,2,12
SRGB1,SR2844,1,6
SRGB1,SR2852,4,19
LPC,TEC,2,11
MT1154,1RI1,3,13
ES2643,GN3309,2,9
FNTL1,AC3100,4,20
TV2543,RL2726,2,12
TV2543,TSL2,2,11
ST5756,TV3777,5,26
ST5756,AA1357,1,4
BA3347,AM2406,3,15
SR2844,BR4175,3,15
SR2844,SR5,1,7
SR2844,TP1508,4,20
SR2844,SRGB3,1,4
SR2844,RC2158,2,11
BS3492,AC2008,3,17
BS3492,BB9257,2,12
SA1252,QC1794,3,15
LD1103,LDDM,2,12
LD1103,CSA3,3,14
LD1103,MF1,2,9
EPC1,DBT1,2,10
SMAT3,SP4,7,42
TE1377,CS2273,2,7
LI3225,RR3392,1,7
LI3225,R10,2,12
MA5944,AL1101,2,12
MA5944,SMAT3,2,7
IS2125,AS3353,3,15
IS2125,NT1289,86,513
VL2574,SM1796,50,300
VL2574,BO1118,3,17
VL2574,TA3010,54,323
AR3154,QU2529,4,20
TMEI1,AA1669,4,19
SE8462,ST1095,2,12
PP6997,AS3038,3,17
VE1096,AR2517,22,132
EN2965,CT3331,2,7
RM1909,QR1888,3,14
RM1909,TMPR1,2,12
CR1995,SE8462,2,12
JP2808,CR4246,2,10
ME2272,VML,14,80
ME2272,SR2844,5,28
VF3138,PL1005,3,13
IS2129,IS2070,2,10
IS2129,DSS,2,8
IS2129,ESS1,2,11
IS2129,AL3039,3,14
QC2515,LN5591,2,7
QC2515,RNSG1,3,18
QC2515,SHRM2,3,14
QC2515,ES1795,40,240
VD2320,TL2580,3,17
ES2082,CR1995,4,23
MAII1,JZ1043,1,5
ST2042,BR2518,2,9
PC3264,ST3098,2,8
JC1294,MC1804,2,12
BR2368,CP4140,2,11
CT3331,SS8901,3,14
QS1438,HS6137,4,22
HS1848,HS2829,1,5
HS1848,AS1358,4,20
HS1848,HS9437,2,10
HS1848,IPO2,3,16
PT5539,ST1194,2,12
JZ1043,VB2322,2,10
JZ1043,MAIZ,2,10
AZ,BL2038,1,6
RB1080,RS1912,1,6
MA2767,PC3264,2,10
FE2668,TARR2,1,6
CQ2354,TI3354,2,12
CQ2354,PC8907,5,26
CQ2354,MA5590,4,19
ST3098,CP1310,2,9
TMPR2,RM1909,2,11
TI3354,HM3277,3,13
TI3354,CQ5,3,13
TI3354,PC2357,2,8
FR2134,VD8079,3,13
ST1776,FG2606,3,17
GT2721,BL2883,2,12
PG1573,PI2982,4,21
TL1192,GS2804,82,492
TL1192,INFH1,84,501
TL1192,AL3039,56,333
TL1192,CA7045,55,330
TL1192,BR2743,5,29
TL1192,FR1082,6,33
FN1845,5O1371,30,177
FN1845,AHRQ2,13,73
RB5549,RN1046,4,24
RB5549,EN2965,3,18
1A2384,PR8534,2,13
1A2384,AA1146,1,6
1A2384,SC1303,27,163
1A2384,GGF1,3,17
1A2384,MC8901,3,14
1A2384,SCAT3,4,20
BL2883,TT7339,3,14
RS1089,SRP2,13,77
RS1089,JA3379,12,67
RS1089,PL1005,2,11
SE2762,SR1105,2,11
SE2762,NSHP,4,24
AJ3088,PC1453,2,11
AG1497,GJ2027,2,12
RA1873,TV1557,3,15
RA1873,LD3372,6,34
RA1873,PD2580,50,295
RA1873,PC5908,61,363
CIRC5,JA3379,2,10
CP1464,AM1919,3,18
GN4164,BV3038,3,14
TR2349,AA1146,4,19
TR2349,1A2384,3,14
TR2349,JN5673,2,10
TR2349,PR8534,4,22
RNSG1,AP1644,2,8
PAP2,SHRM4,2,11
RNSG2,QC2515,4,19
BSEE2,CT4034,2,9
MA5590,CQ5,3,15
SRHE3,ISRH4,3,14
CS2633,SD1832,4,20
CS2633,MRS2,2,9
JN5673,BL2517,1,7
IN3005,CM1356,2,12
RN5978,RB1080,2,9
ES1795,SC1522,2,12
UVDE1,VDES,2,13
CQ5,PC8907,4,23
AB1033,LG2592,4,20
ML3207,CR2489,4,19
ML3207,FC2707,2,12
ML3207,JNN2,2,9
MR1844,AP1292,2,9
MR1844,GA1,3,17
HSA,CO1691,2,12
AB1593,RBSS2,3,18
HP2434,CI2941,3,15
CT1657,AR3384,3,14
RT2110,PE4096,2,8
RT2110,DP2211,2,10
LE2237,CT3331,4,24
PD1658,C21640,3,18
PD1658,COLS,2,8
SJ2912,AB2505,4,19
SJ2912,PI3389,4,21
IG2530,IGRT1,1,6
IG2530,LE2237,2,10
RG3293,EC2700,3,14
AM1919,ST3085,3,13
AM1919,AZ,1,4
DC4376,IA3230,3,18
TBNJ2,PINC2,2,10
ML2255,CT1621,2,11
CV1289,CH1986,3,16
SA8592,ES8542,2,9
LG1432,UF2412,2,12
JF2785,VP1490,2,11
RB2963,MFB2,2,11
RB2963,LGAJ3,X,6
RB2963,VTC2,X,9
RB2963,PL1442,X,10
RB2963,GN2503,X,10
RB2963,CAVE4,X,6
RB2963,FTN2,X,8
QBNJ2,TBNJ2,2,12
TF2,PRNT,2,10
PI9422,FA6346,3,14
MARB,LPC,1,6
PINC2,CM2246,5,28
LION1,MT2392,5,25
AZ1624,PR7649,4,19
AZ1624,HM1218,3,16
AZ1624,LD3372,2,12
AZ1624,SR7407,2,9
AZ1624,RA2810,6,31
ES1912,LA1068,2,9
CRUG1,SA5768,2,8
CR2489,PG1573,1,5
CR2489,PI2982,4,24
CR2489,SN2822,46,274
.,MM2205,3,17
1B2611,PR2962,2,10
1B2611,BC2653,4,20
1B2611,BVCT1,3,15
RB1280,EL1125,3,14
RB1280,MS1,2,11
RB1280,RB2963,3,13
RB1280,LGAJ3,X,9
RB1280,GN2503,X,9
RB1280,PL1442,X,7
RB1280,CAVE4,X,10
FRC,FR4488,3,16
PRDJ2,BLFZ1,3,16
PRDJ2,MC8901,2,7
GRJ,AP6420,4,20
GRJ,AG2210,3,17
GGF1,CMO,2,10
TA2652,FS1324,6,33
CP4140,BRA1,2,7
ACN1,FG2887,3,16
ACN1,CO7757,1,5
AL1101,PQBT3,2,7
AL1101,AC2970,3,17
OLM,MR7780,3,18
CART,FC8390,2,9
CART,JB9828,2,12
PA1901,JF3158,3,15
BE3223,CS3106,3,14
BE3223,BC4812,108,648
MAIZ,MAII1,1,7
MAIZ,QT3155,2,9
PL1442,GN2503,3,14
1RI1,1GFE1,5,25
SR1105,RS2461,2,7
SR1105,CIRC5,2,9
ACDR2,BR2480,2,10
ACDR2,FC1097,2,10
ND2509,ED1183,3,16
ST3085,IP1771,4,21
CP1587,VF2780,2,8
CP1587,LG1432,3,16
LO2889,PCNS,2,9
JRC3,BP2812,2,11
ML1776,OU3334,43,257
RS1912,FA2740,2,11
PE4096,LO2889,2,13
CPRN4,IP3228,4,22
VF2780,SV1045,4,19
VF2780,ACN1,2,12
VF2780,CS1351,2,10
IM2798,MP3389,3,13
SV1045,BV2048,3,17
AC1092,ST2042,2,12
ES2259,IG1103,2,9
VD2175,CCBR,2,9
MCE4,CA2338,2,9
MCE4,IG1492,2,12
MCE4,AR1472,X,12
MCE4,NOC,X,10
STLZ2,PP2277,3,14
IG1103,PC2357,22,128
1R9A1,1ADA1,4,19
SV3016,DC4376,1,6
SV3016,VD2175,3,13
SV3016,PL3065,3,14
SR5,FB3242,2,12
RG1580,ST1954,3,17
RG1580,RO1870,3,15
CR1236,AN1376,3,13
PDLF1,FO8720,4,24
RCA,FE2668,2,11
VDV2,INFH2,2,10
VDV2,SR1833,2,12
CM4611,GE2978,2,10
URBP4,UR9405,2,10
LI3265,CR2489,3,14
LI3265,DIU1,2,8
DE3073,BR2518,2,9
RFAR1,MF6357,3,15
COD4,VA9994,32,192
PD1528,CU1207,3,14
PD1528,NATV,2,10
A25A1,FV2324,2,9
CO2340,AL2408,104,624
HU1120,TNG1,2,13
SR1212,PP2277,2,10
BJ2736,CV7713,3,13
BJ2736,AC2970,57,342
BJ2736,PS2343,3,13
AF3087,AR2202,2,12
AF3087,HU1120,2,12
FG2887,MP1840,3,18
FG2887,CV7713,2,10
FG2887,HS4476,5,25
RC2815,PI1062,3,15
BR2333,BR3052,2,8
RGM,AV4393,2,12
AB2505,BR2333,3,14
AV4393,RS1089,4,19
CR2125,GI6143,2,8
CR2802,FR2134,3,14
TF3064,AV4393,3,13
TF3064,CU1212,3,15
TARR2,HS1848,3,14
CU1212,CU2745,1,7
FT1432,TP3926,2,9
GGF,CMO,2,9
PEDR2,JF2460,2,10
PI2397,GL2576,2,12
PI2397,TNG2,2,8
CMO,HSA5,4,23
CMO,1DBR1,2,10
CMO,CO1691,1,4
CMO,HS3451,3,14
MI2908,TL1192,52,307
RS2461,QC2515,4,19
PA3330,MT2026,2,10
COLS,PR3117,3,19
CU1207,PEDR2,3,17
CS2273,AN1376,82,489
CS2273,RCNH2,3,14
PR3117,AA1146,2,8
PR3117,PR8534,4,19
PR3117,TR2349,3,17
PR3117,1A2384,2,8
PR3117,HS3451,8,45
CT1901,CT1657,2,9
TLHR3,MI2908,3,18
PD2580,MM2205,3,18
PD2580,PDM4,1,3
GI6143,TR2444,2,10
BV3038,GS2634,3,13
JF2460,SC2047,3,16
JF2460,PDB1,2,8
JF2460,MMAI1,2,11
JF2460,LCMS1,3,13
JP4078,RM1945,3,14
JP4078,VI3275,40,237
LCMS1,HU1120,2,12
BR3052,FT2968,4,21
VG1628,RL2968,2,9
VG1628,CSSH3,2,9
RM1945,PR3606,4,19
MMAI1,AR8113,4,23
FRB,CR3043,3,15
RP2281,CM2791,2,12
BC2653,GRC1,3,16
BC2653,AG2210,4,23
BC2653,BV1043,2,12
BC2653,RBVM1,2,12
CS3342,HM3201,3,16
CSSH3,LN5591,4,24
UR3110,CS3342,3,15
RL2968,FT1432,2,11
CA3179,FN2615,2,9
FR3344,PR1149,3,14
GF2292,SM3282,2,9
RCT1,AR4770,2,12
