Location,Id,Code,Parking
R. PADRE PORTO CARRERO,92,RP1027,0
REGUENGO,93,RG2344,0
CAPITÃO MOURA,94,CM3394,0
IPO (CIRCUNVAL.),95,IP1771,0
ERMIDA,96,ER2955,0
MONTES DA COSTA,97,MC1631,0
GONDOMAR (SOUTO),98,GODS,0
CEDRO,99,CDR1,0
R.ORIENTAL,100,RO1677,0
SOL POENTE,101,SO4917,0
LIDADOR,102,LD2795,1
MEILÃO,103,ME1542,0
STO.CONDESTÁVEL,104,SC1628,0
CRESTINS (STA. LUZIA),105,ST1095,0
VENDA NOVA,106,VD8079,0
PLANETÁRIO,107,PL2535,0
BAZAR,108,BZ2583,0
FLUVIAL (NORTE),109,FL3318,0
BR. STO.EUGÉNIO (ESCOLA),110,BSEE1,0
DR. BARROS,111,DR1961,0
SIMÕES LOPES,112,SLOP,0
CAVACO,113,CV3149,0
IGREJA DA MAIA,114,IM6138,0
CASAL DOS MOGOS,115,CM1711,0
ALTINO  COELHO,116,AC2182,0
S. LÁZARO,117,SL1176,0
PINTA,118,PI3236,0
TV.CONSELHEIRO VELOSO DA CRUZ,119,TCVC,0
AQUILINO RIBEIRO,120,AQ2796,0
ESCOLA NORMAL,121,ES6335,0
LARGO DOS MOGOS,122,LM1408,0
R.CHAQUEDAS,123,RCH1,0
ROT.AGRA,124,AG1272,0
ESC. AURÉLIA SOUSA,125,AUS,0
R. ZAMBUEIRAS,126,RZ1532,0
FONTINHA,127,FT2297,0
HOSP.MAGALHÃES LEMOS,128,HM1218,1
AREOSA (MERCADO),129,AR2202,0
R. RODELO,130,RRDL2,0
CAIS 6,131,C62220,0
ASSOC. EMP. PORTUGAL,132,AE2388,0
ALTO CHAQUEDAS,133,AC1332,0
SOARES CORREIA,134,SOCR,0
BAIRRO VILARINHA,135,BR2729,0
TV.ARDEGÃES,136,TARG2,0
LABORIM,137,LB5790,0
HIPERMERCADO,138,HI1156,0
ELEVADOR GUINDAIS,139,EL1125,0
CRUZEIRO,140,CR1595,1
SPORT CLUBE CANIDELO,141,SC1522,0
MAIA,142,MAIA,0
TV.AUGUSTO SIMÕES,143,TVAS1,0
ALBERTO O CANTADOR,144,AC2905,0
EDIF. TRANSPARENTE,145,ETRP2,0
IGREJA DE RAMALDE,146,IR2166,0
NUNO TRISTÃO,147,NT1289,0
REGEDOURA,148,RG8030,0
PAULO RANITO,149,PRNT,0
FONTES,150,FT3333,0
S.PEDRO,151,SP4,0
IGREJA RIO TINTO 1,152,IGRT1,0
JARDIM DO MORRO,153,JM1319,0
ARRÁBIDASHOPPING,154,AR1472,0
URB. VILA D'ESTE,155,UV1403,0
TRIBUNAL DE GAIA,156,TR9980,0
STA.LUZIA,157,ST1194,0
COVINA,158,CO3177,0
DUQUE TERCEIRA,159,DT2,0
PALMILHEIRA,160,PM2786,0
ALFÉRES PEREIRA,161,ALPR1,0
PASSOS MANUEL,162,PS2465,0
PEDRO HISPANO,163,PH1918,0
R. IGREJA,164,RI4113,0
ABELHEIRA,165,AB3283,0
ALEX. HERCULANO,166,AL2408,1
MONTE,167,MTE,0
LOMBA (GATÕES),168,LM2164,0
E. SEC. G. ZARCO,169,GC2640,0
FUNCHAL,170,FC2707,0
LOMBA,171,LM3272,0
INFANTE D. HENRIQUE,172,INFH1,0
PARQUE DA CIDADE,173,PR2125,0
GUIFÕES,174,GU2226,0
MATOSINHOS MERCADO,175,MA4323,0
FRESCA,176,FS1335,0
QUINTA DE SANTIAGO,177,QS2101,0
PONTE MOVEL,178,PM3375,0
CABEDA,179,CB1286,0
HOSP. S. JOÃO (METRO),180,HS9437,0
EGAS MONIZ,181,EM2080,0
HIPÓDROMO,182,HIPD,0
4 CAMINHOS,183,4C2453,0
SARILHOS,184,SA5768,0
ÁLVARO CASTELÕES,185,AC2970,0
SRA. HORA (HIPER),186,SR7407,0
MATOSINHOS (MERCADO),187,MATM2,0
FORMIGA CEMITÉRIO,188,FM4659,0
CÂNDIDO REIS (METRO),189,CR1955,0
BARROCAS,190,BR2518,0
TEATRO VILARINHA,191,TV1557,0
TV.MELO PEREIRA,192,TMPR1,0
MONTE ESPINHO,193,MT1388,0
FREI ÁLVARO PINTO,194,FA2740,0
JOÃO R. CABRILHO,195,JRC1,0
ESC.SEC.de RIO TINTO,196,ES8542,0
R.FERROVIÁRIO,197,RF3641,0
SR. MATOSINHOS,198,SMAT4,0
CUSTÓIAS,199,CU2745,0
PONTE CARRO,200,PC1462,0
TORRES,201,TR1550,0
D.DINIS,202,DD2008,0
AREOSA,203,AR8113,1
UNIV. CATÓLICA,204,UC4142,0
BR. COSTA CABRAL,205,BR2565,0
R.MARINHA,206,RM2464,0
IGREJA DE MASSARELOS,207,IG1492,0
D.JOÃO III,208,DJ2951,0
PASTELEIRA,209,PA1372,1
BR. CAMPINAS,210,BR1267,0
PIRES DE LIMA,211,PL3065,0
S.TA CATARINA,212,SC1303,0
PÓLO UNIVERSITÁRIO (METRO),213,PUNV,0
MONSANTO,214,MS7550,0
PALMEIRAS,215,PL1632,0
CARTES,216,CR2384,1
JOÃO BARROS,217,JB2522,0
EMÍDIO NAVARRO,218,EM1589,0
IGREJA DE  ALDOAR,219,IGAL2,0
PAULO DA GAMA,220,PG3116,0
ANTAS (L. CIDADÃO),221,AN8378,0
FÓRUM,222,FO4447,0
BOLHÃO,223,BL2517,0
HEROISMO,224,HE2601,0
FERNÃO MENDES PINTO,225,FMPT,0
PADRE LUIS CABRAL,226,PC9232,0
CONDE D.PEDRO,227,CDPD,0
QUINTA CHÃOS,228,QC1794,0
PADRÃO,229,PD2121,0
FONTE VILA,230,FT3163,0
JARDIM BOTÂNICO,231,JB9828,0
GOMES COSTA 1,232,GC3111,0
CAMPO 24 AGOSTO,233,C24A4,0
CORDOARIA VELHA,234,CR1603,0
ALEIXO,235,AL1497,0
BR. FALCÃO,236,BF2552,0
ARCA D ÁGUA,237,AD4498,0
QUEIRÃOS,238,QR1888,0
BICA VELHA,239,BV2048,0
MOINHOS,240,MO2214,0
LAPA,241,LA7245,0
VIRIATO,242,VTO4,0
ARROTEIA,243,AR2517,1
MIRAGAIA,244,MR1870,0
CLUBE TÉNIS PORTO,245,CTP,0
TV. SIMÕES LOPES,246,TSL1,0
ALFÂNDEGA,247,AL2266,0
TV.SIMÕES LOPES,248,TSL2,0
AGRA,249,AG3063,0
HOSP. STO. ANTÓNIO,250,HS3451,0
MAÍNÇA,251,MA1883,0
PALÁCIO,252,PA3175,1
R.PRAIA,253,RPR,0
ROÇADAS,254,RC2852,0
NOSSA SRA. DA NATIVIDADE,255,NATV,0
PEDROUÇOS-BOMBEIROS,256,PDB1,0
SONHOS,257,SO2420,0
L. ESTEVÃO TORRES,258,LG4030,0
CAROLINA MICHAELIS,259,CM2834,0
MAN.P.AZEVEDO 2,260,MP2274,0
MONTE CATIVO,261,MTCV,0
MAN.P.AZEVEDO 1,262,MP2156,0
MANINHO,263,MN9231,0
ANTÓNIO  AUG.SILVA,264,AA1669,0
PERO COVILHÃ,265,PC2357,0
VILAR DO PARAÍSO,266,VP1490,0
FIGUEIROA,267,FIG,0
PRAIA DO OURIGO,268,PO1707,0
FERR. DOS SANTOS,269,FSTO1,0
MATERNIDADE,270,MA1592,0
MATADOURO,271,MT3103,0
NATÁRIA,272,NA1548,0
CASA DO POVO,273,CP1310,0
R. FUNDA,274,1R3286,0
ANTERO DE QUENTAL,275,AQ2147,0
BR. RAMALDE,276,BR2270,0
R.FUNDA,277,RFND2,0
VISO,278,VI3275,0
CARVALHIDO,279,CV2407,1
LAROZE ROCHA,280,LARZ,0
R. BOUÇA QUEIMADA,281,RB1068,0
VENEZUELA,282,VE3773,0
HOSP. S.TA MARIA,283,HS4476,0
ERMESINDE (FORUM),284,ERM4,0
FONTE DE CONTUMIL,285,FT1456,0
QUARTEL MILITAR,286,QT1838,0
R.7(NASCENTE),287,R7N1,0
R.DA PIEDADE,288,1PEI1,0
HOSP. S. JOÃO (URGÊNCIA),289,HS2829,0
R.7(POENTE),290,R7P1,0
BARCA,291,BA1571,0
IGREJA CAMPANHÃ,292,ICAM1,0
GONÇALO MENDES MAIA,293,MM2205,0
QUINTA AMARELA,294,QT5084,0
R.5,295,R55640,0
FONTE NOVA,296,FTN2,0
PRIMAVERA,297,PM5953,0
INFANTA D. MAFALDA,298,ID3171,0
HOSP. GAIA,299,HG2228,0
JUNTA FREG. BARCA,300,JF3158,0
BERNARDIM RIBEIRO,301,BR4175,0
FONTE MOURISCA,302,FT2949,0
PADRÃO DE MOREIRA,303,PDM4,0
S.ROQUE G. BARROS,304,SRGB3,0
CRUZ. GUARDEIRAS,305,CZ1297,0
FORNOS,306,FR1174,0
SERRALVES (MUSEU),307,SR2748,0
AZEVEDO,308,AZ1920,0
CHÂNCIDRO,309,CHC2,0
FERNÃO MAGALHÃES,310,FMAG,0
R. CONCHAS,311,RCNH2,0
MONFORTE,312,MF1014,0
FONTE DA MOURA,313,FT2968,0
ERMESINDE (IGREJA),314,ER7208,0
1º DE MAIO,315,PM6154,0
MARRACUENE,316,MR7780,0
MANINHOS,317,MA1037,0
PTE.D.MARIA PIA,318,PT9586,0
PISÃO,319,PI1062,0
MOUZINHO  SILVEIRA,320,MS2,0
OUTEIRO,321,OU3334,0
RIBEIRO CAMBADO,322,RC2358,0
MONTE GRANDE,323,MG8290,0
BERNARDO SANTARENO,324,BRNS,0
ROT.LAVRADOR,325,LV2483,0
ANTÓNIO  CARNEIRO,326,ACAR,0
QUINTA ANDORINHAS,327,QT3155,0
COMBONIANOS,328,CB1142,0
CAMPANHÃ,329,CM2246,1
C.SAÚDE RIO TINTO,330,CSRT3,0
C.SAÚDE DE RIO TINTO,331,CSRT4,0
MOUTA,332,MT9888,0
S.RA DA SAÚDE,333,SR1357,0
DAVID CORREIA DA SILVA,334,DC2628,0
MALMEQUERES,335,MA2113,0
GONDOMAR (CÂMARA),336,GODC1,0
CLÉRIGOS,337,CLRG,0
PARQUE CIDADE,338,PR1151,0
ANTÓNIO SANTOS,339,AS1756,0
HENRIQUE MACHADO,340,HM3201,0
IGREJA (MILHEIROS),341,IG2179,0
TV.TRÁS,342,TT7339,0
LAGE,343,LA2622,0
C. C. LONDRES,344,LN5591,0
BR.GUARDAS,345,BR1165,0
ENXINHÃES,346,EN1565,0
SR.DO CALVÁRIO,347,SCAL2,0
GUEIFÃES,348,GU2273,0
PONTE CABRAS,349,PC5908,0
CHÃ,350,CH1464,0
D. MANUEL II,351,DM6400,0
HENRIQUE BARROS,352,HB7334,0
AFONSO HENRIQUES,353,AHRQ2,0
CORREIA PINTO,354,CRRP2,0
ANTUNES AZEVEDO,355,AN3138,0
DR DOMINGOS BONTEMPO,356,DBT1,0
VILA NOVA,357,VLN1,0
VISCONDE BARREIROS,358,VB2322,0
CÂMARA DE VALONGO,359,CMV,0
VASCO GAMA,360,VG4578,0
NAZARÃES,361,NZ5678,0
DR.PORFÍRIO ANDRADE,362,DP2211,0
SACADURA CABRAL,363,SC2047,0
ARCO,364,AR2471,0
MACHADO SANTOS,365,1MST1,0
BOAVISTA (BOM SUCESSO),366,BS6325,0
TV. ENTRE CAMPOS,367,TEC,0
PEDRAS RUBRAS,368,PR1149,0
PINHEIRAL,369,PIN1,0
FERREIRA DE CASTRO,370,FC1097,0
CHÃO VERDE,371,CH1986,0
R. ESTAÇÃO ARAÚJO,372,RE3044,0
SANTOS LEITE,373,SL9302,0
ALDEIA NOVA,374,AN1376,1
D. NUNO A. PEREIRA,375,DN4347,0
MADALENA (IGREJA),376,MDLI2,0
GASPAR CORTE REAL,377,GC1513,0
CARRIÇAL,378,CA2227,0
OLIVEIRA LOBO,379,OL7169,0
R.CONCHAS,380,RCNH1,0
ÁGUAS FERREAS,381,AF3339,0
BARÃO,382,BA2390,0
ALBERTO SAMPAIO,383,ASP2,0
PARQUE J. G. LARANJO,384,PJ1865,0
FARRAPAS,385,FR1954,0
TV. DA COSTA,386,TC1958,0
FORÇAS ARMADAS,387,FA6346,0
BR. DA PASTELEIRA,388,BP2812,0
JOAQUIM ANDRADE,389,JQ1640,0
TV. DE LINHARES,390,TL2580,0
GUARDA,391,GU2451,0
RODRIGUES FREITAS,392,RG1267,0
HOMEM DO LEME,393,HM3277,0
ALMEIRIGA,394,AL1500,0
PAV. DESPORTIVO LUÍS FALCÃO,395,PDLF2,0
INFANTE,396,INF1,0
ABADE MONDEGO,397,AB1494,0
ERMESINDE - B. V.,398,BV2655,0
SAMPAIO,399,SA1813,0
Q.TA DA CONCEICÃO,400,QT3055,0
BAIRRO BESSA LEITE,401,BB9257,0
PORTO CARREIRO,402,PT1759,0
PERAFITA,403,PF4735,0
25 DE ABRIL,404,251307,1
TERMINAL INTERMODAL CAMPANHÃ,405,TI1747,0
ALDEIA  BAIXO,406,ABX1,0
PRADO REPOUSO,407,PR2162,0
GONDIVINHO,408,GN3309,0
R. GATÕES,409,RG6870,0
ERMESINDE (ESTAÇÃO),410,ER4309,0
ESCARPA SERRA PILAR,411,ESPL2,0
PINTOR ARPAD SZENES,412,ASZE1,0
GONDIVAI (SUL),413,GS2634,0
NORTESHOPPING,414,NSHP,0
EXPONOR,415,EX2736,0
MUSEU C. ELÉCTRICO,416,MC8430,0
CAL,417,CA1424,0
MEDANCELHE,418,ME1525,0
CASTRO MEIRELES,419,CM2791,0
S. ROQUE G. BARROS,420,SRGB1,0
LARGO PINTO CORREIA,421,LPC,0
MONTE CRASTO,422,MT1154,0
ESPOSADE,423,ES2643,0
FONTE LUMINOSA,424,FNTL1,0
TRAVAGEM,425,TV2543,0
SANTEGÃOS,426,ST5756,0
BATARIA,427,BA3347,0
S. ROQUE,428,SR2844,1
BESSA,429,BS3492,0
SÁ,430,SA1252,0
LIDADOR-SOEIRO MENDES,431,LD1103,0
EST PRISIONAL DE CUSTOIAS,432,EPC1,0
SR.  MATOSINHOS,433,SMAT3,0
TV.ESCOLAS,434,TE1377,0
LIDADOR (METRO),435,LI3225,0
MATOSINHOS (IGREJA),436,MA5944,0
INFANTE SANTO,437,IS2125,0
VILAR,438,VL2574,1
ARREGADAS (VIADUTO),439,AR3154,0
TV.MEIRAL,440,TMEI1,0
SENDAL,441,SE8462,0
PONTE DA PEDRA,442,PP6997,0
VESSADA,443,VE1096,0
ESTRADA NOVA,444,EN2965,0
RUA DE MOSTEIRO,445,RM1909,0
CRESTINS (METRO),446,CR1995,0
JOÃO PINTO RIBEIRO,447,JP2808,0
MEIRAL,448,ME2272,0
VILARINHO FREIRES,449,VF3138,0
ISEP/AGRA,450,IS2129,1
QUATRO CAMINHOS,451,QC2515,1
ESPOSADE (METRO),452,VD2320,0
RUA DA ESTRADA,453,ES2082,0
MAIA (IGREJA),454,MAII1,0
S.TA JUSTA,455,ST2042,0
PONTE DO CARRO,456,PC3264,0
OS JACINTOS,457,JC1294,0
BR.REGADO,458,BR2368,0
CASTANHEIRA,459,CT3331,0
QUINTA SECA,460,QS1438,0
HOSP. S. JOÃO (CIRCUNVALAÇÃO),461,HS1848,1
PONTE DE MOREIRA,462,PT5539,0
JARDIM ZOOLÓGICO,463,JZ1043,0
AZENHA,464,AZ,0
RECAREI BAIXO,465,RB1080,0
MONTE AVÓ,466,MA2767,0
FELICIANA,467,FE2668,0
CASTELO DO QUEIJO,468,CQ2354,0
STA.CRUZ BISPO,469,ST3098,0
TV. MELO PEREIRA,470,TMPR2,0
TIMOR,471,TI3354,0
FERRARIA,472,FR2134,0
STA. APOLONIA,473,ST1776,0
GATANHAL,474,GT2721,0
PRAIA DE GONDARÉM,475,PG1573,0
TELHEIRA,476,TL1192,1
FONTE,477,FN1845,0
REBORDÃOS,478,RB5549,0
AV.ALIADOS,479,1A2384,1
BALDÕES,480,BL2883,0
R. DO SENHOR,481,RS1089,1
SETE BICAS,482,SE2762,0
PIAS (METRO),483,AJ3088,0
AGUIM,484,AG1497,0
REAL,485,RA1873,1
CIRCUNVALAÇÃO,486,CIRC5,0
CAPUCHINHOS,487,CP1464,0
GONDIVAI (NORTE),488,GN4164,0
TRINDADE,489,TR2349,1
R. NOVA S. GENS,490,RNSG1,0
PADRE ANTÓNIO PORTO,491,PAP2,0
R.NOVA S. GENS,492,RNSG2,0
BR.STO.EUGÉNIO (ESCOLA),493,BSEE2,0
MALACA,494,MA5590,0
SRA.HORA (METRO),495,SRHE3,0
CASA DE SAÚDE DA BOAVISTA,496,CS2633,0
JORNAL DE NOTÍCIAS,497,JN5673,0
IGREJA N.SRA DA AJUDA,498,IN3005,0
RECAREI (NORTE),499,RN5978,0
ESPINHEIRO,500,ES1795,0
URB. VILA D ESTE,501,UVDE1,0
SEA LIFE CASTELO DO QUEIJO,502,CQ5,0
AV.DA BOAVISTA,503,AB1033,0
MOLHE,504,ML3207,0
MARIANI,505,MR1844,0
HOSP.STO. ANTÓNIO,506,HSA,0
AV. DO BESSA,507,AB1593,0
HOSP. PRELADA,508,HP2434,0
CUSTIÓ (METRO),509,CT1657,0
RIO TINTO (ESTAÇÃO),510,RT2110,0
LEVADA,511,LE2237,0
LARGO DO PADRÃO,512,PD1658,0
S. JOÃO DE BRITO,513,SJ2912,0
IGREJA RIO TINTO,514,IG2530,0
REGADAS,515,RG3293,0
AMIAL,516,AM1919,0
DIOGO CÃO,517,DC4376,0
TRAVESSA DE BONJÓIA,518,TBNJ2,0
MARIA LAMAS,519,ML2255,0
CAVADA NOVA,520,CV1289,0
SÁ DE MIRANDA,521,SA8592,0
LGO.CAMPO LINDO,522,LG1432,0
JUNTA FREG. VILAR DO PARAÍSO,523,JF2785,0
RIBEIRA (INFANTE),524,RB2963,0
QUINTA DE BONJÓIA,525,QBNJ2,0
TV. FEIRA,526,TF2,0
PADRE IVO TONELLI,527,PI9422,0
MOCIDADE ARRÁBIDA,528,MARB,0
PINHEIRO DE CAMPANHÃ,529,PINC2,0
LIONESA,530,LION1,0
AZENHA DE CIMA,531,AZ1624,1
ESC.SEC.ABEL SALAZAR,532,ES1912,0
CRUZEIRO (GUIFÕES),533,CRUG1,0
CRASTO,534,CR2489,1
.,535,.,0
BOAVISTA - B.SUCESSO,536,1B2611,1
RIBEIRA,537,RB1280,0
FRANCELOS,538,FRC,0
PR.D.JOÃO I,539,PRDJ2,0
GUERRA JUNQUEIRO,540,GRJ,0
GUILHERME GOMES FERNANDES,541,GGF1,0
TAPADA AZEVEDO,542,TA2652,0
CAPELA SRA.FÁTIMA,543,CP4140,0
ANTÓNIO CÂNDIDO,544,ACN1,0
ALFREDO CUNHA,545,AL1101,0
OLIVEIRA MONTEIRO,546,OLM,0
CASA  DAS ARTES,547,CART,0
P. ABÍLIO SAMPAIO,548,PA1901,0
BELA,549,BE3223,0
MAIA (ZOO),550,MAIZ,0
PONTE LUÍZ I,551,PL1442,0
RUA DA IGREJA,552,1RI1,0
SRA. DA PENHA,553,SR1105,0
ALAMEDA CEDRO,554,ACDR2,0
NOEDA,555,ND2509,0
S. TOMÉ,556,ST3085,0
CAMPO LINDO,557,CP1587,0
LOURINHA,558,LO2889,0
JOÃO R.CABRILHO,559,JRC3,0
MANUEL LARANJEIRA,560,ML1776,0
RECAREI (SUL),561,RS1912,0
PERLINHAS,562,PE4096,0
CEMITÉRIO PARANHOS,563,CPRN4,0
VALE FORMOSO,564,VF2780,0
IMTT,565,IM2798,0
SILVA PORTO,566,SV1045,0
ANTÓNIO COELHO,567,AC1092,0
ESC. SEC. BOA NOVA,568,ES2259,0
VITORINO DAMASIO,569,VD2175,0
MUSEU C. ELÉTRICO,570,MCE4,0
S.TA LUZIA,571,STLZ2,0
IGREJA DE LEÇA,572,IG1103,0
R. 9 ABRIL,573,1R9A1,0
SILVA TAPADA,574,SV3016,0
S. ROQUE (CIRCUNV.),575,SR5,0
RODRIGUES SEMIDE,576,RG1580,0
CARTÓDROMO,577,CR1236,0
PAVILHÃO LUÍS FALCÃO,578,PDLF1,0
RICARDO ALVES,579,RCA,0
VISCONDE DEVESAS,580,VDV2,0
CAMÕES,581,CM4611,0
URB.PRELADA II,582,URBP4,0
PR. DE LIÉGE,583,LI3265,0
DR. EDUARDO SANTOS SILVA,584,DE3073,0
FOZ,585,RFAR1,0
CODICEIRA,586,COD4,0
PEDROUÇOS (CEMITÉRIO),587,PD1528,0
AV. 25 DE ABRIL,588,A25A1,0
LGO DA CODICEIRA,589,CO2340,0
HUMBERTO DELGADO,590,HU1120,0
S.RA DO PORTO,591,SR1212,0
BENTO JÚNIOR,592,BJ2736,0
AREOSA (FEIRA),593,AF3087,0
FARIA GUIMARÃES,594,FG2887,1
R.CRISTAL,595,RC2815,0
BAIRRO DA PREVIDÊNCIA,596,BR2333,0
RUI GAMEIRO,597,RGM,0
ALBERTO MACEDO,598,AB2505,0
AVILHÓ,599,AV4393,0
CRESPO,600,CR2125,0
CARREIRA,601,CR2802,0
TV.FONTE VELHA,602,TF3064,0
TV. ARROTEIA,603,TARR2,0
CUSTÓIAS (FEIRA),604,CU1212,0
FONTE DO CUCO,605,FT1432,0
GUIL. G. FERNANDES,606,GGF,0
PEDROUÇOS DE BAIXO,607,PEDR2,0
PEDRO IVO,608,PI2397,0
CARMO,609,CMO,1
MIOSÓTIS,610,MI2908,0
R.SENHOR,611,RS2461,0
PAUS,612,PA3330,0
COLISEU DO PORTO,613,COLS,0
CUTAMAS,614,CU1207,0
CENTRO SAÚDE,615,CS2273,0
PR. D. JOÃO I,616,PR3117,1
CUSTIÓ,617,CT1901,0
R.TELHEIRA,618,TLHR3,0
PADRÃO MOREIRA,619,PD2580,0
GIESTA,620,GI6143,0
B. V. LEÇA BALIO,621,BV3038,0
J. FREGUESIA PEDROUÇOS,622,JF2460,1
JULGADO DE PAZ,623,JP4078,0
LUÍS DE CAMÕES,624,LCMS1,0
BAIRRO DA VILARINHA,625,BR3052,0
AV.VASCO DA GAMA,626,VG1628,0
RAMALDE DO MEIO,627,RM1945,0
G. MENDES DA MAIA,628,MMAI1,0
FRANCOS (BOMBEIROS),629,FRB,0
PAÇO,630,RP2281,0
BOAVISTA-CASA DA MÚSICA,631,BC2653,1
C.SOCIAL SOUTELO,632,CS3342,0
CENTRO DE SAÚDE SRA HORA,633,CSSH3,0
URB.SOUTELO,634,UR3110,0
RUA DA LAGOA,635,RL2968,0
CABANAS,636,CA3179,0
FEIRA,637,FR3344,0
GODINHO FARIA,638,GF2292,0
R. CENTRO,639,RCT1,0
BAIRRO DA BIQUINHA,640,BR2522,0
AFONSO  HENRIQUES,641,AFHQ3,0
PONTE LEÇA (SUL),642,PTLS3,0
AUGUSTO LESSA,643,AU1994,0
FREIXIEIRO (E.N.107),644,FRXI3,0
SENHOR MATOSINHOS,645,SM1440,0
SENDIM (CEMITÉRIO),646,SD1415,0
GOA,647,GO2074,0
TEIBAS,648,TE3279,0
GONDOMAR FEIRA,649,1GFE1,0
R.NOVA DA FONTE,650,RN1812,0
VILA D'ESTE,651,VDE1,0
C. SAÚDE S. MAMEDE,652,CS2827,0
GRACIOSA,653,GRC1,0
BOAVISTA,654,BO1118,0
C. SAÚDE RAMALDE,655,CS1046,0
MIRA MAIA SHOPPING,656,MMAI5,0
JERÓNIMO AZEVEDO,657,JA3379,1
MAKRO,658,MA1247,0
FONTE DA SENHORA,659,FT3014,0
CASA DA MÚSICA (METRO),660,CM1725,0
PRESA,661,PR3358,0
ALDOAR JUNTA  FREG.,662,AL9726,0
SRA. HORA (METRO),663,SHRM2,0
PRELADA,664,PR3606,1
CONDE FERREIRA,665,CF1065,0
ROT. 1º DE MAIO,666,RTNM,0
AFONSO CORDEIRO,667,AC3100,0
FERREIRA DA CRUZ,668,FC3658,0
SRA. HORA,669,SRHR,0
POUSADA JUVENTUDE,670,PJ6116,0
IGREJA DE PARANHOS,671,IP3228,1
BR. DO AMIAL,672,BR2411,0
LUIS CAMÕES,673,LU2292,0
FÂNZERES (METRO),674,FN2615,0
RIBEIRO TELES,675,RT1803,0
PONTE SECA,676,PS2265,0
SOUTO,677,SO2638,0
URB. PRELADA II,678,URBP3,0
PASSEIO ALEGRE,679,PA5518,0
CASTELOS,680,CT1621,0
TAMANQUEIROS,681,TM2387,0
